State,NAME_L,Fips Code,Pop 2018
Indiana,Adams,18001,35636
Indiana,Allen,18003,375351
Indiana,Bartholomew,18005,82753
Indiana,Benton,18007,8653
Indiana,Blackford,18009,11930
Indiana,Boone,18011,66999
Indiana,Brown,18013,15234
Indiana,Carroll,18015,20127
Indiana,Cass,18017,37955
Indiana,Clark,18019,117360
Indiana,Clay,18021,26170
Indiana,Clinton,18023,32250
Indiana,Crawford,18025,10558
Indiana,Daviess,18027,33147
Indiana,Dearborn,18029,49568
Indiana,Decatur,18031,26794
Indiana,De Kalb,18033,43226
Indiana,Delaware,18035,114772
Indiana,Dubois,18037,42565
Indiana,Elkhart,18039,205560
Indiana,Fayette,18041,23047
Indiana,Floyd,18043,77781
Indiana,Fountain,18045,16351
Indiana,Franklin,18047,22736
Indiana,Fulton,18049,20092
Indiana,Gibson,18051,33452
Indiana,Grant,18053,65936
Indiana,Greene,18055,32006
Indiana,Hamilton,18057,330086
Indiana,Hancock,18059,76351
Indiana,Harrison,18061,40350
Indiana,Hendricks,18063,167009
Indiana,Henry,18065,48271
Indiana,Howard,18067,82366
Indiana,Huntington,18069,36240
Indiana,Jackson,18071,44111
Indiana,Jasper,18073,33370
Indiana,Jay,18075,20764
Indiana,Jefferson,18077,32208
Indiana,Jennings,18079,27611
Indiana,Johnson,18081,156225
Indiana,Knox,18083,36895
Indiana,Kosciusko,18085,79344
Indiana,Lagrange,18087,39330
Indiana,Lake,18089,484411
Indiana,La Porte,18091,110007
Indiana,Lawrence,18093,45668
Indiana,Madison,18095,129641
Indiana,Marion,18097,954670
Indiana,Marshall,18099,46248
Indiana,Martin,18101,10217
Indiana,Miami,18103,35567
Indiana,Monroe,18105,146917
Indiana,Montgomery,18107,38346
Indiana,Morgan,18109,70116
Indiana,Newton,18111,14011
Indiana,Noble,18113,47532
Indiana,Ohio,18115,5844
Indiana,Orange,18117,19489
Indiana,Owen,18119,20845
Indiana,Parke,18121,16927
Indiana,Perry,18123,19102
Indiana,Pike,18125,12410
Indiana,Porter,18127,169594
Indiana,Posey,18129,25540
Indiana,Pulaski,18131,12469
Indiana,Putnam,18133,37779
Indiana,Randolph,18135,24851
Indiana,Ripley,18137,28523
Indiana,Rush,18139,16663
Indiana,St Joseph,18141,270771
Indiana,Scott,18143,23878
Indiana,Shelby,18145,44593
Indiana,Spencer,18147,20327
Indiana,Starke,18149,22935
Indiana,Steuben,18151,34586
Indiana,Sullivan,18153,20690
Indiana,Switzerland,18155,10717
Indiana,Tippecanoe,18157,193048
Indiana,Tipton,18159,15128
Indiana,Union,18161,7037
Indiana,Vanderburgh,18163,180974
Indiana,Vermillion,18165,15479
Indiana,Vigo,18167,107386
Indiana,Wabash,18169,31280
Indiana,Warren,18171,8263
Indiana,Warrick,18173,62567
Indiana,Washington,18175,27943
Indiana,Wayne,18177,65936
Indiana,Wells,18179,28206
Indiana,White,18181,24133
Indiana,Whitley,18183,34074
